Utterance,Emotion,Conscientiousness,Openness,Extraversion,Neuroticism,Agreeableness,Speaker
"And to go from that to this, I just  Plus, I d have to wait on all my friends.",surprise,0.489,0.574,0.297,0.56,0.552,Joey
What's that supposed to mean?,,0.354,0.713,0.386,0.511,0.533,Monica
"How-how are you, Mom?",surprise,0.354,0.713,0.386,0.511,0.533,Monica
Hi.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Ok, but you know what? I gotta say, I'm really impressed that    you were able to memorize all this so quickly!",,0.457,0.722,0.6,0.455,0.46,Ross
And-,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
That s what you say about porn.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Chandler!! Are you gonna call her!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
They call me: 'Cookie Dude!',joy,0.457,0.722,0.6,0.455,0.46,Ross
"I just, I feel, I-I just...",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"No-no-no, a bunch of out of control jackets take over an island.",joy,0.457,0.722,0.6,0.455,0.46,Ross
You won't even taste it?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ok, you see, the tag shouldn't be at the top left corner, it should be at the bottom right corner.",surprise,0.354,0.713,0.386,0.511,0.533,Monica
And my husband  he s a lawyer!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
These little women. Wow!,,0.489,0.574,0.297,0.56,0.552,Joey
Hello.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
What are you talkin  about? I never left you! You ve always been my agent!,,0.489,0.574,0.297,0.56,0.552,Joey
"Well umm, they both have a egg yolk and butter base, but a bearnaise has shallots, shirvel, and most importantly tarragon.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"That s a dog, every house should have a dog.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"What rule? There's no rule, if anything, you owe me a table!",anger,0.48,0.648,0.521,0.477,0.66,Chandler
What are you doing?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"That was so awkward, we were really nervous.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
I don t know. Why? Did you hear something?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Oh,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
And you can go back to enjoying your little hamburger.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"I have to go. Yeah, Carol should be home by now, soo...",sadness,0.457,0.722,0.6,0.455,0.46,Ross
It was.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Monica. You ve, you ve done it right?",,0.614,0.635,0.457,0.469,0.58,Rachel
Oh God you re right.,joy,0.457,0.722,0.6,0.455,0.46,Ross
Oh! Maybe it s because I m on television. I m an actor on,joy,0.489,0.574,0.297,0.56,0.552,Joey
You win.,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh no, she's still at work, but she told me to tell you to call her.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Ohh. Hey, remember when I ran into this thing  and it kinda knocked me out a little?",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Please? Please?! We just don't want to deal with telling everyone, okay? Just promise you won't tell.",fear,0.354,0.713,0.386,0.511,0.533,Monica
"No, no, I m serious. Thank you.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Chandler, don't worry! This doesn't make you any less of a guy! That does! What am I sitting on? I hate to think what this woman was scratching when this broke off.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"How we doing, you guys ready?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Hey, this is hollow.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
That s what you think.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
You gotta go!,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Wow! That aspirin dance really works!,joy,0.457,0.722,0.6,0.455,0.46,Ross
You want some help with that?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Great! It s so amazing! I mean, last time Dr. Roger came over, I was",joy,0.354,0.713,0.386,0.511,0.533,Monica
"Thank you, very much! Oh!  Thank you!",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"No? So you re saying that if I called it, it wouldn t ring?",anger,0.614,0.635,0.457,0.469,0.58,Rachel
Hi.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Listen. Listen. Smelly cat, smelly cat, what are they feeding you?",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
He s retiling my floor.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Hey, listen umm, what-what are you doing tonight?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"After applying the Waxine and linen strips to leg number one,",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Sure.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"No, it's ok! Made me feel like a rock star!",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Alright here s something, it says to try holding the baby  close to your body and then swing her rapidly from side to side.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Cassie, are you finding everything okay in there?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Yeah, I'm fine. I'm trppd in an ATM vstbl wth Jll Gdcr.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
But then who? The waitress I went out with last month?,,0.489,0.574,0.297,0.56,0.552,Joey
All right.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, that's",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh yeah, well there's the possibility that I won't make rent.",joy,0.354,0.713,0.386,0.511,0.533,Monica
"All right, we'll start off slow. The only thing you have to do tonight is come up with the name of your main character.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Uh, I don't know, whatever.",fear,0.457,0.722,0.6,0.455,0.46,Ross
You can not do this.,anger,0.354,0.713,0.386,0.511,0.533,Monica
Now there you go! I wouldn t want my best guest to strain her eyes!,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Ross, thank you. Hey, do you guys wanna go see a movie?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Uh, listen, I need that broiling pan that Joey borrowed the other day.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
We are the hottest! Huh?,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
She barely knows me. We just live in the same building.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"No, I have two sisters. But one of them has a very masculine energy.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
I know.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Let me think. Let me think Oh! I don t care.,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh hey, right back at ya.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Am I naked again?!,,0.48,0.648,0.521,0.477,0.66,Chandler
I don t know.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
The fear of,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Hello?   It s the deli again!,,0.354,0.713,0.386,0.511,0.533,Monica
"Come on, that was back in high school! How could that still bother you?",fear,0.354,0.713,0.386,0.511,0.533,Monica
Sells drugs to kids.,disgust,0.375,0.6,0.31,0.356,0.545,Phoebe
"Wait a second, or maybe you can go in first.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"She's right, it's Jill. Jill Goodacre. Oh my God. I am trapped in an ATM vestibule with Jill Goodacre!",,0.48,0.648,0.521,0.477,0.66,Chandler
You didn t leave lipstick marks on the phone.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
What are you doing?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
My first time with Carol was...,fear,0.457,0.722,0.6,0.455,0.46,Ross
"Pheebs, if this guy keeps closing down all of our favorite places, where are we gonna eat?!",anger,0.489,0.574,0.297,0.56,0.552,Joey
"I'm not a baby, you're the baby.",anger,0.354,0.713,0.386,0.511,0.533,Monica
"No, I don't! Ross, I think I'm just a more secure person than you are.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Look, he gave me his night vision goggles and everything.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Honey, I love you too.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Mia Hamm?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"No, interestingly enough her leaf blower picked up.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"No, but you can't.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Will the stable boy never get the princess??,surprise,0.489,0.574,0.297,0.56,0.552,Joey
The only reason she's goin' out with me is because I said I could bring a friend for her friend.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"I know, I m sorry! But y know, this ring is better! Monica never even saw the other ring.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
The doctor.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
What about her whining and her constant need for attention?!,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
Great! Monica s moving!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"I gotta tell you, I-I wasn t expecting to like her at all, I mean I actually wasn t expecting to like anyone right now, but she s really terrific.",joy,0.457,0.722,0.6,0.455,0.46,Ross
Really?! I-I thought you weren t looking for something serious? I thought you were looking for some kind of a fling.,,0.48,0.648,0.521,0.477,0.66,Chandler
"Ahh, no.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
"Ah, sure, Nina. Whats up?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Oh please, he ll be with his real family, the twins and little miss new boobs.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Hm-mmm,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, what the hell is that?",anger,0.48,0.648,0.521,0.477,0.66,Chandler
You know there already is a Joseph Stalin?,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Umm, listen I am sorry, but I ll put some out first thing in the morning.",surprise,0.354,0.713,0.386,0.511,0.533,Monica
Bye.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
I m just taking it to be re-wired.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Look, I-I m really sorry I let go of the bike.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
Y'know we'd have no interruptions and we could be naked the entire time.,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"You gotta help me out here, you gotta set me up, you gotta get me back in the game.",fear,0.354,0.713,0.386,0.511,0.533,Monica
"Oh. Are you sure you don't want to come? Tom Hanks, Meg Ryan, they get mail and stuff.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
You think we're ready for something like that?,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Listen, look I thought a lot about how to tell you this and the bottom line, Ross, is we can not stay married.",surprise,0.614,0.635,0.457,0.469,0.58,Rachel
What?,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Yeah, it s not mine.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Okay, who s next?!",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Don t look honey. Change the channel! Change the channel!,disgust,0.48,0.648,0.521,0.477,0.66,Chandler
What are you smiling at?,joy,0.354,0.713,0.386,0.511,0.533,Monica
What disposable cameras?,surprise,0.457,0.722,0.6,0.455,0.46,Ross
What?,anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"Okay now Joey, y'know that since you're returning all of this stuff right after the audition you're gonna have to wear underwear?",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Am I psyched? The lead in my own TV series? I ve dreamed about this for years! Why have I not been preparing?!,joy,0.489,0.574,0.297,0.56,0.552,Joey
I can t believe it! He still hasn t called.,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey, what s up?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
What?,fear,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh, I don't know. I mean it was fun one time.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
No.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Actually, tomorrow night kinda depends on how tonight goes.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, most of it it's a place",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Okay, well if I stop playing with Joey and Chandler, can I play with Mark?",anger,0.614,0.635,0.457,0.469,0.58,Rachel
I ah... Oh! I'll squeeze you fresh orange juice every morning!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
What?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"I m never gonna find a roommate, ever.",surprise,0.48,0.648,0.521,0.477,0.66,Chandler
Oh... that's too bad. Bye bye.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay, so we got some more good rejections, lots of stuff to work on.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Look at that!,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Hey, guess what I m doing tonight.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, 'scuse me. I was kinda using that machine.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
Rachel.,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
You spent a hundred dollars. That s the limit. You re screwed!,joy,0.489,0.574,0.297,0.56,0.552,Joey
With?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Yeah, huh. I'm just uh, you know I'm just picking up some things for a party.",fear,0.48,0.648,0.521,0.477,0.66,Chandler
"Do you uh, do you ready for a refill?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Where?  Ooh, come to Momma.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh yeah, I'd love that.",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Yeah, sure. Umm, they didn't have poppy seed bagels, so I... Oh my word!",fear,0.614,0.635,0.457,0.469,0.58,Rachel
" Cause Carol s a lesbian.  And, and I m not one. And apparently it s not a mix and match situation.",surprise,0.457,0.722,0.6,0.455,0.46,Ross
"No, hi, I'm, I'm an honorary Brown Bird",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Well, at least you re not hearing it for the first time at your fifth grade Halloween party.",disgust,0.354,0.713,0.386,0.511,0.533,Monica
"Uhh, no.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Disneyland, 1989, 'It's a Small World After All.'",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Aw, honey it s not your fault, y'know this is who you are, and I love you, and I want us to be friends, and if I keep living here I don t see that happening.",surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"I know you probably don t want to go out with me, y know because I make too many jokes and I ve never been in a serious relationship and I guess I m not technically a ""doctor """,surprise,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, okay, what's going on?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"No, I know! I get it! It s funny!",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Okay. Then I guess it s just, wait here then.   Hi. I need one fake ticket to Yemen.",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
I do too.,surprise,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh yea yea, absolutely.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Hey Joey, come taste this.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Um, yeah.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Kate Miller?,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
Oh that s terrible. I m-I m really sorry.,surprise,0.489,0.574,0.297,0.56,0.552,Joey
Nooo! Nooooo! You lent me Monica's earrings?! I'm not allowed to borrow her stuff!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Really? In the moment, I really wanted to kiss you too. In the moment.",joy,0.489,0.574,0.297,0.56,0.552,Joey
I called a cab. she just left.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Yep, yep...You?",fear,0.354,0.713,0.386,0.511,0.533,Monica
Do I go horseback riding in the park? Do I take classes at the New School?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Oh.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
But the audition s in a couple hours and I don t even understand the game.,fear,0.489,0.574,0.297,0.56,0.552,Joey
What kind of father do you think I am?,anger,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, now you want a favour?",joy,0.457,0.722,0.6,0.455,0.46,Ross
"Okay.  We are at a rest stop on Route 27. Okay.  There is no Route 27.   Okay, either 93 or 76?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Oh, all right. What did I have?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Yeah.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Hey!,sadness,0.489,0.574,0.297,0.56,0.552,Joey
You told him to play the boxer gay!!,anger,0.48,0.648,0.521,0.477,0.66,Chandler
"Okay, I'm just gonna, I have to ask that you don't move anything.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Ah, anything we might of heard of?",joy,0.489,0.574,0.297,0.56,0.552,Joey
"What? No! No, I m not stopping. I m Red Ross!",surprise,0.457,0.722,0.6,0.455,0.46,Ross
I highly doubt that.,surprise,0.354,0.713,0.386,0.511,0.533,Monica
"Uh-huh, me too. Ross, maybe I should've specified that I'd be needing a grown up doctor.",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
You got it! Oh-oh!,fear,0.489,0.574,0.297,0.56,0.552,Joey
"I dunno what to say, Ross. Uh, it's a monkey.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
Will you stop!,joy,0.354,0.713,0.386,0.511,0.533,Monica
"Right. So, what you have to do is, you have to accidentally run into her on purpose. And then act aloof.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"You see that guy? He's in classics now, but y'know as soon as we leave he's going straight to the porn.",joy,0.354,0.713,0.386,0.511,0.533,Monica
"Listen, Robert s gonna be here any second so, will one of you just tell him?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Why aren t you home yet?!,anger,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh, a subscription to",,0.489,0.574,0.297,0.56,0.552,Joey
"Honey, if you wanted to do that, you might as well just gotten him a fish, you know how fish freaked me out!",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
"Morning! Hey, how s my favorite genius and my little robot buddy?!",joy,0.489,0.574,0.297,0.56,0.552,Joey
I m not asking you to go on a,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"So, ahh, what kind of powers would Gold Man have?",joy,0.48,0.648,0.521,0.477,0.66,Chandler
What?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, it has a name?",,0.375,0.6,0.31,0.356,0.545,Phoebe
I wonder where she is. That is so weird.,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Come on! Forty-five minutes! Forty-five minutes the man talked about strappy backed dresses.,anger,0.457,0.722,0.6,0.455,0.46,Ross
"Well, anyway, I got to go change, I m ah, meeting some of the cast for drinks.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Look, here's a picture of Scotty Jared naked.",sadness,0.354,0.713,0.386,0.511,0.533,Monica
Let go!,anger,0.354,0.713,0.386,0.511,0.533,Monica
Oh-oh! So that s the way it s gonna be huh? Yeah I can break the rules too y know!,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Oh no-no-no, I'm, I'm paddling away!",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Hey.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Hey!,sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Uh, does it hurt?",fear,0.489,0.574,0.297,0.56,0.552,Joey
"No, I did, but tell me again, because it s so romantic.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Oh my God, what happened?",,0.614,0.635,0.457,0.469,0.58,Rachel
About what?,sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"All right, look, I'm not proud of this, ok? Well, maybe I am a little.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
How are you?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
Yeah. You're ten times prettier than she is.,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, that s fine! Go with your instincts, go with your instincts.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
"They can t all be bad.  Find the one where you make your bedroom eyes. Ohh, there it is.",joy,0.354,0.713,0.386,0.511,0.533,Monica
Hey!,,0.457,0.722,0.6,0.455,0.46,Ross
"Oh, no, no, I don't have one. I just need to talk to my friend.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"I m sorry I m late, did I miss anything?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
You knew about that?,fear,0.489,0.574,0.297,0.56,0.552,Joey
With extra pulp?,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Yeah, actually that s my roommate s.",sadness,0.614,0.635,0.457,0.469,0.58,Rachel
"Phoebe, what, what happened here?!",,0.354,0.713,0.386,0.511,0.533,Monica
I made it in the sixth grade.,sadness,0.457,0.722,0.6,0.455,0.46,Ross
"The wedding is off, sloppy and immature!",anger,0.354,0.713,0.386,0.511,0.533,Monica
Oh God!,joy,0.354,0.713,0.386,0.511,0.533,Monica
I'm...happy...for you?,fear,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, I win! He s got",joy,0.614,0.635,0.457,0.469,0.58,Rachel
I can t find garbage bags!,anger,0.354,0.713,0.386,0.511,0.533,Monica
"Your other student, was you!",anger,0.489,0.574,0.297,0.56,0.552,Joey
"Well sorry, that s what I do on dates.",sadness,0.457,0.722,0.6,0.455,0.46,Ross
"Hey, look at me. I'm making jam, been at it since 4 o'clock this morning.",joy,0.354,0.713,0.386,0.511,0.533,Monica
The fake kind!,anger,0.354,0.713,0.386,0.511,0.533,Monica
"Uh... Oh, Mindy, you are so stupid. Oh, we are both so stupid.",disgust,0.614,0.635,0.457,0.469,0.58,Rachel
"Ooh-hoo. Very hot, very sexy. But ah, y'know she's too international, y'know she's never gonna be around.",joy,0.48,0.648,0.521,0.477,0.66,Chandler
Oh my God.,,0.614,0.635,0.457,0.469,0.58,Rachel
"No, it s not! We were just goofing around and I dared him to try them on.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Alright, no peeking. No peeking, no peeking, no peeking.",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, I'm sorry. Did I get 'ya?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, you like that don t you?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Do you know anything about women?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Yes, but there s two in martini, soo everybody",joy,0.48,0.648,0.521,0.477,0.66,Chandler
Aww man! I can t believe I locked myself out again!,anger,0.489,0.574,0.297,0.56,0.552,Joey
"Really? Okay, so",,0.48,0.648,0.521,0.477,0.66,Chandler
"Y'know I mean it was really exciting at first but now it's like, okay, so where are we gonna eat ever?",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
"Wait a minute, did you just make up all that stuff just to get out of being my agent.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"It's me, Joey!",joy,0.489,0.574,0.297,0.56,0.552,Joey
"There was just one woman, wasn t there?",sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Oh, I told the stripper to be here at five. That s good right?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
Stupid closet full of bugs!,anger,0.489,0.574,0.297,0.56,0.552,Joey
So we can be friends who sleep together.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
What s my little chef got for me tonight?,joy,0.489,0.574,0.297,0.56,0.552,Joey
It's better! You can't go to a museum in your underwear!,joy,0.489,0.574,0.297,0.56,0.552,Joey
"Yeah, ""You suck"" and ""shut up and go home"".",joy,0.375,0.6,0.31,0.356,0.545,Phoebe
"Hi, is uh, is Carol here?",sadness,0.457,0.722,0.6,0.455,0.46,Ross
Just showing you my run-of-the-mill-slice-it-right-off third nipple.,fear,0.457,0.722,0.6,0.455,0.46,Ross
Shoot! We're out of soda.,anger,0.354,0.713,0.386,0.511,0.533,Monica
Even if the sidecar had a windscreen so your hair wouldn t get messed up?,sadness,0.457,0.722,0.6,0.455,0.46,Ross
Dehydrated Japanese noodles under fluorescent lights... does it get better than this?,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"So uh, what s your name?",sadness,0.489,0.574,0.297,0.56,0.552,Joey
No...,surprise,0.614,0.635,0.457,0.469,0.58,Rachel
Oh my god.,anger,0.614,0.635,0.457,0.469,0.58,Rachel
Yeah! I ve been sailing my whole life. When I was fifteen my dad bought me my own boat.,joy,0.614,0.635,0.457,0.469,0.58,Rachel
"Y know, me and him do stuff all the time without you and you don t get all upset.",sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, you are the best friends anyone has ever had.",joy,0.489,0.574,0.297,0.56,0.552,Joey
"Ok, would people stop drinking the breast milk?",disgust,0.457,0.722,0.6,0.455,0.46,Ross
What?!,,0.457,0.722,0.6,0.455,0.46,Ross
What happened?!!,,0.457,0.722,0.6,0.455,0.46,Ross
"Yeah, yeah. You can do it to.",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Well, not... worried, just... wondering.",surprise,0.354,0.713,0.386,0.511,0.533,Monica
Huh.,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Please, I'm not going for anything.",disgust,0.354,0.713,0.386,0.511,0.533,Monica
Hey!,joy,0.48,0.648,0.521,0.477,0.66,Chandler
"Wow, this is so cool, you guys. The entire city is blacked out!",,0.614,0.635,0.457,0.469,0.58,Rachel
What?!,surprise,0.457,0.722,0.6,0.455,0.46,Ross
Where have you been?,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"Ping pong?  Honey, they have ping pong! Let's play!",,0.354,0.713,0.386,0.511,0.533,Monica
"Jeannie, the head of east coast operations Jeannie?",sadness,0.48,0.648,0.521,0.477,0.66,Chandler
"Look look! He's doing it again, the guy with the telescope!",,0.354,0.713,0.386,0.511,0.533,Monica
Uhh .,sadness,0.489,0.574,0.297,0.56,0.552,Joey
"Oh, wait, wait. Clogs, or claws?",sadness,0.375,0.6,0.31,0.356,0.545,Phoebe
"Nothing, I m just practicing blowing you off because I m gonna be a big movie star!",,0.489,0.574,0.297,0.56,0.552,Joey
Hey! So Estelle lined up a bunch of auditions for me tomorrow and I ll have my health insurance back in no time.,joy,0.489,0.574,0.297,0.56,0.552,Joey
You told me.,,0.375,0.6,0.31,0.356,0.545,Phoebe
"Look Julio, someone left their book here.",,0.354,0.713,0.386,0.511,0.533,Monica
She s still mad.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
My turn? What-what are you talking about?,,0.354,0.713,0.386,0.511,0.533,Monica
"That s it? Well I saw that! Ohh-ohh-oh, thank you.",joy,0.614,0.635,0.457,0.469,0.58,Rachel
"I, ah, I never said hate, I was very careful about that.",fear,0.489,0.574,0.297,0.56,0.552,Joey
"I can't believe Joey's having lunch with his stalker. What i-, what is she like.",anger,0.354,0.713,0.386,0.511,0.533,Monica
"Wha... you're uh, you're, you're over me?",,0.457,0.722,0.6,0.455,0.46,Ross
You still haven t told Rachel you weren t really  proposing?,,0.48,0.648,0.521,0.477,0.66,Chandler
Monica.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
 Sup?  Sup dude?,sadness,0.489,0.574,0.297,0.56,0.552,Joey
Did he just say 'Monica bang'?,fear,0.354,0.713,0.386,0.511,0.533,Monica
I think they get it.,sadness,0.48,0.648,0.521,0.477,0.66,Chandler
Is that why you wanted to tie my tie?,,0.489,0.574,0.297,0.56,0.552,Joey
You do?,,0.614,0.635,0.457,0.469,0.58,Rachel
I know.,sadness,0.354,0.713,0.386,0.511,0.533,Monica
"All right. If you care enough to make up that load of crap, okay.",anger,0.375,0.6,0.31,0.356,0.545,Phoebe
